"","age","ward","sex","count"
"1","10 to 14 years","ward29","female",93
"2","10 to 14 years","ward29","male",81
"3","10 to 14 years","ward35","female",291
"4","10 to 14 years","ward35","male",281
"5","15 to 17 years","ward29","female",72
"6","15 to 17 years","ward29","male",55
"7","15 to 17 years","ward35","female",169
"8","15 to 17 years","ward35","male",177
"9","18 to 24 years","ward29","female",150
"10","18 to 24 years","ward29","male",116
"11","18 to 24 years","ward35","female",486
"12","18 to 24 years","ward35","male",599
"13","25 to 34 years","ward29","female",229
"14","25 to 34 years","ward29","male",162
"15","25 to 34 years","ward35","female",926
"16","25 to 34 years","ward35","male",1039
"17","35 to 44 years","ward29","female",194
"18","35 to 44 years","ward29","male",159
"19","35 to 44 years","ward35","female",720
"20","35 to 44 years","ward35","male",786
"21","45 to 54 years","ward29","female",223
"22","45 to 54 years","ward29","male",188
"23","45 to 54 years","ward35","female",505
"24","45 to 54 years","ward35","male",599
"25","5 to 9 years","ward29","female",95
"26","5 to 9 years","ward29","male",104
"27","5 to 9 years","ward35","female",337
"28","5 to 9 years","ward35","male",299
"29","55 to 64 years","ward29","female",214
"30","55 to 64 years","ward29","male",179
"31","55 to 64 years","ward35","female",365
"32","55 to 64 years","ward35","male",384
"33","65 to 74 years","ward29","female",122
"34","65 to 74 years","ward29","male",98
"35","65 to 74 years","ward35","female",234
"36","65 to 74 years","ward35","male",197
"37","75 to 84 years","ward29","female",75
"38","75 to 84 years","ward29","male",43
"39","75 to 84 years","ward35","female",131
"40","75 to 84 years","ward35","male",112
"41","85 years and over","ward29","female",32
"42","85 years and over","ward29","male",12
"43","85 years and over","ward35","female",47
"44","85 years and over","ward35","male",28
"45","Under 5 years","ward29","female",101
"46","Under 5 years","ward29","male",104
"47","Under 5 years","ward35","female",327
"48","Under 5 years","ward35","male",346
