"","education","ward","count"
"1","bachelor's","ward_29_educ",310
"2","bachelor's","ward_35_educ",1648
"3","doctorate","ward_29_educ",3
"4","doctorate","ward_35_educ",37
"5","high school","ward_29_educ",995
"6","high school","ward_35_educ",2350
"7","less than high school","ward_29_educ",567
"8","less than high school","ward_35_educ",2780
"9","master's","ward_29_educ",156
"10","master's","ward_35_educ",534
"11","professional school","ward_29_educ",20
"12","professional school","ward_35_educ",103
"13","some college","ward_29_educ",842
"14","some college","ward_35_educ",1910
