"","income_cohort","ward","count"
"1","10,000 - 24,999","ward_29_income",12729
"2","10,000 - 24,999","ward_35_income",9882
"3","10,000 - 24,999","ward_36_income",8801
"4","10,000 - 24,999","ward_49_income",11731
"5","100,000 - 149,999","ward_29_income",5786
"6","100,000 - 149,999","ward_35_income",5721
"7","100,000 - 149,999","ward_36_income",6213
"8","100,000 - 149,999","ward_49_income",4266
"9","150,000 or more","ward_29_income",2314
"10","150,000 or more","ward_35_income",3121
"11","150,000 or more","ward_36_income",2589
"12","150,000 or more","ward_49_income",2666
"13","25,000 - 39,999","ward_29_income",10993
"14","25,000 - 39,999","ward_35_income",9362
"15","25,000 - 39,999","ward_36_income",10354
"16","25,000 - 39,999","ward_49_income",9598
"17","40,000 - 59,999","ward_29_income",8679
"18","40,000 - 59,999","ward_35_income",9362
"19","40,000 - 59,999","ward_36_income",10354
"20","40,000 - 59,999","ward_49_income",8531
"21","60,000 - 99,999","ward_29_income",9836
"22","60,000 - 99,999","ward_35_income",10922
"23","60,000 - 99,999","ward_36_income",10354
"24","60,000 - 99,999","ward_49_income",9598
"25","less than 10,000","ward_29_income",7522
"26","less than 10,000","ward_35_income",4161
"27","less than 10,000","ward_36_income",3106
"28","less than 10,000","ward_49_income",6932
